ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1258563700,CKH7ER2wSchETEO5db,192.168.1.103,56952,192.168.1.1,53,udp,dns,0.043145,29,125,SF,T,T,0,Dd,1,57,1,153,-
1258563700,C2Oa4rY08WdxpE8x7,192.168.1.103,64708,192.168.1.1,53,udp,dns,0.140854,35,393,SF,T,T,0,Dd,1,63,1,421,-
1258563700,CfE1nVzKceCjFedjj,192.168.1.103,54999,192.168.1.1,53,udp,dns,0.065174,31,157,SF,T,T,0,Dd,1,59,1,185,-
1258563700,C3eu362doffx9HI4I8,192.168.1.103,50758,192.168.1.1,53,udp,dns,1.026123,62,338,SF,T,T,0,Dd,2,118,1,366,-
1258563700,CWTDYi4Z71enGuzmOd,192.168.1.103,64709,192.168.1.1,53,udp,dns,0.262098,33,227,SF,T,T,0,Dd,1,61,1,255,-
1258563700,CceBws3LydVj5jVFcg,192.168.1.103,64715,192.168.1.1,53,udp,dns,0.03343,33,161,SF,T,T,0,Dd,1,61,1,189,-
1258563700,Cb4kmy2eO5ZxoPlty5,192.168.1.103,57070,192.168.1.1,53,udp,dns,0.317571,32,250,SF,T,T,0,Dd,1,60,1,278,-
1258563700,C3VU9Z2m3oIYwJMRUa,192.168.1.103,58871,192.168.1.1,53,udp,dns,0.202556,40,141,SF,T,T,0,Dd,1,68,1,169,-
1258563700,C7D4OJ3loRPPeDDia2,192.168.1.103,55358,192.168.1.1,53,udp,dns,0.082138,32,117,SF,T,T,0,Dd,1,60,1,145,-
1258563707,CXaqR12EfQYr4VpQU5,192.168.1.103,1417,65.54.186.79,80,tcp,http,0.179884,510,2839,SF,T,T,0,ShADdfFa,7,798,7,3127,-
1258563708,C26BrM3A9aBeDlSey,192.168.1.103,1418,65.54.186.79,80,tcp,http,0.202874,565,2199,SF,T,T,0,ShADdfFa,5,773,5,2407,-
1258563708,CiLcnb4J0bjgZCfRZk,192.168.1.103,1419,65.54.186.79,80,tcp,http,0.487697,562,21653,SF,T,T,0,ShADdfFa,9,930,20,22461,-
1258563708,CG1Oib3rBi1VGBmg87,192.168.1.103,1420,65.54.186.79,80,tcp,http,0.116177,353,1462,SF,T,T,0,ShADdftFa,6,613,5,1670,-
1258563709,CK23B12S4pqTl3F28f,192.168.1.103,1421,65.54.186.79,80,tcp,http,0.713551,583,769,SF,T,T,0,ShADdfFa,5,791,4,937,-
1258563710,CqyJyZ3kn9Z7A0d8Tb,192.168.1.103,1427,65.54.186.79,80,tcp,http,0.527917,585,3973,SF,T,T,0,ShADdfFa,6,833,7,4261,-
1258563706,CvGdNs4hRgPtKzGRm1,192.168.1.103,55853,192.168.1.1,53,udp,dns,0.167386,27,149,SF,T,T,0,Dd,1,55,1,177,-
1258563707,CS1lCB3ctqmA4BWKD1,192.168.1.103,61820,192.168.1.1,53,udp,dns,0.132897,32,223,SF,T,T,0,Dd,1,60,1,251,-
1258563709,CEQYc23R5fn6mdLowl,192.168.1.103,58500,192.168.1.1,53,udp,dns,0.287799,32,293,SF,T,T,0,Dd,1,60,1,321,-
1258563709,Cmr4CZ3WuVSERYCdUl,192.168.1.103,52897,192.168.1.1,53,udp,dns,0.328031,31,292,SF,T,T,0,Dd,1,59,1,320,-
1258563700,CBRJrP2VE1JWfRZKid,192.168.1.103,56585,192.168.1.1,53,udp,dns,1.065402,66,350,SF,T,T,0,Dd,2,122,1,378,-
1258563714,CoxVt8b4IKV0JnD57,192.168.1.103,1430,65.54.186.79,443,tcp,ssl,1.490568,1255,5066,SF,T,T,0,ShADdfFa,10,1663,9,5434,-
1258563716,CWLNd5dIV0sY8Kadj,192.168.1.103,1433,96.6.248.124,443,tcp,-,2.880197,0,0,S0,T,T,0,S,2,96,0,0,-
1258563716,CiWCO823uYbzC4gNPj,192.168.1.103,1434,96.6.245.186,443,tcp,-,2.896438,0,0,S0,T,T,0,S,2,96,0,0,-
1258563703,CYWhBs3gV3sCtGoqx4,192.168.1.103,1403,66.235.138.19,80,tcp,http,14.822503,3007,1731,RSTR,T,T,0,ShADdr,8,3335,5,1939,-
1258563713,CvLYeg4DH61NKVUJmf,192.168.1.103,64710,192.168.1.1,53,udp,dns,0.314782,37,146,SF,T,T,0,Dd,1,65,1,174,-
1258563714,Ck9YwX3kpIzFi8kU8,192.168.1.103,64914,192.168.1.1,53,udp,dns,0.579616,43,235,SF,T,T,0,Dd,1,71,1,263,-
1258563716,CbCryz3qyBxulhqkb8,192.168.1.103,57279,192.168.1.1,53,udp,dns,0.457971,34,330,SF,T,T,0,Dd,1,62,1,358,-
1258563716,CBUcIy3jWXoqevkw56,192.168.1.103,59324,192.168.1.1,53,udp,dns,0.198388,40,348,SF,T,T,0,Dd,1,68,1,376,-
1258563725,CXstLX134lZcbDwKzc,192.168.1.103,1433,96.6.248.124,443,tcp,-,-,-,-,S0,T,T,0,S,1,48,0,0,-
1258563725,CWR8oq2rnSZm9e4H87,192.168.1.103,1434,96.6.245.186,443,tcp,-,-,-,-,S0,T,T,0,S,1,48,0,0,-
1258563681,CFIHWQ9zc6U83qqLe,192.168.1.104,138,192.168.1.255,138,udp,-,2.24783,348,0,S0,T,T,0,D,2,404,0,0,-
1258563714,Ckt64iHqX9CnmjSf5,192.168.1.103,1429,65.54.95.77,80,tcp,http,30.068133,436,2341,RSTO,T,T,0,ShADdfR,7,724,4,2509,-
1258563751,CBqxN1281am2QSVI74,192.168.1.103,50454,192.168.1.1,53,udp,dns,0.099864,37,169,SF,T,T,0,Dd,1,65,1,197,-
1258563751,CA3qoz1CS12pShh17c,192.168.1.103,60729,192.168.1.1,53,udp,dns,0.093906,34,120,SF,T,T,0,Dd,1,62,1,148,-
1258563751,CXgP871cMXGwjjgW9,192.168.1.103,64853,192.168.1.1,53,udp,dns,0.051677,48,302,SF,T,T,0,Dd,1,76,1,330,-
1258563751,CmDgePuREr4l7ix0l,192.168.1.103,57128,192.168.1.1,53,udp,dns,0.27359,34,288,SF,T,T,0,Dd,1,62,1,316,-
1258563751,CH1Gq3K1y1PmM0dC6,192.168.1.103,61388,192.168.1.1,53,udp,dns,0.167829,44,236,SF,T,T,0,Dd,1,72,1,264,-
1258563751,Ck1bao4SaK2IMpogZj,192.168.1.103,1446,216.168.253.44,80,tcp,http,0.035725,188,2346,RSTO,T,T,0,ShADadfR,5,396,5,2554,-
1258563751,Cpztzp4vikA6D7wdN1,192.168.1.103,1445,199.7.51.190,80,tcp,http,1.857389,198,314640,S1,T,T,0,ShADd,45,2006,229,323804,-
1258563751,CMgPKh3T4Ty79gFzYl,192.168.1.103,1442,65.54.234.75,443,tcp,ssl,0.334782,252,2612,S1,T,T,0,ShADd,6,500,4,2780,-
1258563751,CsR8PEzJFaMxbKHpi,192.168.1.103,1443,66.235.139.152,443,tcp,ssl,0.663088,3401,3251,S1,T,T,0,ShADda,11,3849,8,3579,-
1258563737,CWIu2D1PDJAXIuG0l,192.168.1.103,1441,96.6.245.186,443,tcp,ssl,13.50802,1484,4446,S1,T,T,0,ShADad,9,1852,8,4774,-
1258563732,CwnIy8qnYVRYJTAif,192.168.1.103,138,192.168.1.255,138,udp,-,-,-,-,S0,T,T,0,D,1,240,0,0,-
1258563716,CQiU1u1CTb3lNgEQy,192.168.1.103,1439,96.6.248.124,443,tcp,ssl,0.052221,760,2294,S1,T,T,0,ShADad,6,1008,6,2542,-
1258563716,C8cbwQ3pUss67ezx93,192.168.1.103,1436,96.6.245.186,443,tcp,ssl,34.549317,1012,3413,RSTO,T,T,0,ShADadfR,9,1380,10,3821,-
1258563716,CQEtn42Y6zsBUZqdjd,192.168.1.103,1435,96.6.245.186,443,tcp,ssl,34.550077,1011,2592,RSTO,T,T,0,ShADadfR,9,1379,9,2960,-
1258563715,Ccr37A2FzIOstVQAo2,192.168.1.103,1431,199.7.51.190,80,tcp,http,0.484697,196,40605,S1,T,T,0,ShADd,10,604,31,41849,-
1258563713,CgvfzA2O8UBlHHM74b,192.168.1.103,1428,65.55.16.121,443,tcp,ssl,17.295648,3045,33909,S1,T,T,0,ShADdta,20,3889,34,35277,-
1258563710,CH6jee3Hc4YLm0xE7g,192.168.1.103,1425,198.189.255.74,80,tcp,http,0.213371,435,710,S1,T,T,0,ShADad,4,603,3,838,-
1258563710,ClulBZ1EGCXMtzowF1,192.168.1.103,1426,198.189.255.74,80,tcp,http,0.212623,431,842,S1,T,T,0,ShADad,4,599,3,970,-
1258563707,CFME8w1jJ4nFY8KSI8,192.168.1.103,1416,64.4.20.169,80,tcp,http,0.135912,366,1551,S1,T,T,0,ShADd,4,534,3,1679,-
